event_id,date_start,date_end,date_jalali_start,date_jalali_end,event_type,scope,affected_meal,service_status,confidence,description,expected_effect,observed_in_data,source_url
friendly_indonesia,2024-01-09,2024-01-09,1402-10-19,1402-10-19,رویداد_ورزشی_ملی,ملی,شام,سرو_کامل,متوسط,بازی دوستانه‌ی تدارکاتی ایران - اندونزی، الریان قطر، سه‌شنبه ۱۹ دی ۱۴۰۲؛ نتیجه: برد ۵-۰ ایران,بازی دوستانه (نه رقابتی) با جذابیت کم؛ اثر انتظاری بسیار ضعیف‌تر از بازی‌های جام ملت‌ها,2024-01-09 lunch: ρ=0.121 (z=+1.1) | 2024-01-09 dinner: ρ=0.076 (z=+0.1),https://en.wikipedia.org/wiki/Iran_national_football_team_results_(2020%E2%80%93present)
asian_cup_palestine,2024-01-14,2024-01-14,1402-10-24,1402-10-24,رویداد_ورزشی_ملی,ملی,شام,سرو_کامل,بالا,بازی گروهی ایران - فلسطین؛ جام ملت‌های آسیا ۲۰۲۳ قطر؛ یکشنبه، ساعت ۲۱:۰۰ به‌وقت تهران (۲۰:۳۰ به‌وقت قطر)؛ نتیجه: برد ۴-۱ ایران,احتمال کاهش نرخ دریافت شام یا جابه‌جایی زمان دریافت به‌خاطر هم‌زمانی با بازی,2024-01-14 lunch: ρ=0.100 (z=+1.0) | 2024-01-14 dinner: ρ=0.049 (z=-0.0),https://en.wikipedia.org/wiki/2023_AFC_Asian_Cup_Group_C
aqi_episode_06,2024-01-18,2024-01-25,1402-10-28,1402-11-05,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_کامل,بالا,دوره‌ی پیوسته‌ی 8 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=178. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2024-01-18 lunch: ρ=0.052 (z=-0.6) | 2024-01-18 dinner: ρ=0.031 (z=-0.6) | 2024-01-19 lunch: ρ=0.052 (z=+0.0) | … (10 سطر میانی حذف شد) | 2024-01-24 dinner: ρ=0.076 (z=-0.2) | 2024-01-25 lunch: ρ=0.047 (z=-0.8) | 2024-01-25 dinner: ρ=0.028 (z=-0.7),derived:weather_aqi_tehran.csv
asian_cup_hong_kong,2024-01-19,2024-01-19,1402-10-29,1402-10-29,رویداد_ورزشی_ملی,ملی,شام,سرو_کامل,بالا,بازی گروهی هنگ‌کنگ - ایران؛ جام ملت‌های آسیا؛ جمعه، ساعت ۲۱:۰۰ به‌وقت تهران (۲۰:۳۰ قطر)؛ نتیجه: برد ۱-۰ ایران,جمعه است ولی چون داخل ایام امتحانات پایان‌ترم قرار دارد استثنائاً سرو داشته (یکی از تنها ۵ جمعه‌ی سرودار کل بازه)؛ حجم رزرو جمعه‌ها پایین است و اثر باید با احتیاط تفسیر شود,2024-01-19 lunch: ρ=0.052 (z=+0.0) | 2024-01-19 dinner: ρ=0.018 (z=-1.2),https://en.wikipedia.org/wiki/2023_AFC_Asian_Cup_Group_C
asian_cup_uae,2024-01-23,2024-01-23,1402-11-03,1402-11-03,رویداد_ورزشی_ملی,ملی,شام,سرو_کامل,بالا,بازی گروهی ایران - امارات؛ جام ملت‌های آسیا؛ سه‌شنبه، ساعت ۱۸:۳۰ به‌وقت تهران (۱۸:۰۰ قطر)؛ نتیجه: برد ۲-۱ ایران و صعود به‌عنوان صدرنشین گروه C,نزدیک به آغاز بازه‌ی معمول سرو شام؛ احتمال کاهش جزئی نرخ دریافت,2024-01-23 lunch: ρ=0.102 (z=+0.4) | 2024-01-23 dinner: ρ=0.050 (z=-0.5),https://en.wikipedia.org/wiki/2023_AFC_Asian_Cup_Group_C
snow_episode_01,2024-01-28,2024-01-28,1402-11-08,1402-11-08,بارش_برف_سنگین,استان_تهران,هردو,سرو_کامل,بالا,بارش برف مجموعاً 5.81 سانتی‌متر با کمینه‌ی دمای -1.5°C؛ استخراج‌شده از داده‌ی Open-Meteo پروژه,اختلال تردد و احتمال افزایش نرخ عدم‌دریافت، به‌ویژه برای دانشجویان غیرخوابگاهی,2024-01-28 lunch: ρ=0.070 (z=-0.0) | 2024-01-28 dinner: ρ=0.039 (z=-0.2),derived:weather_aqi_tehran.csv
aqi_episode_07,2024-01-30,2024-02-01,1402-11-10,1402-11-12,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_کامل,بالا,دوره‌ی پیوسته‌ی 3 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=166. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2024-01-30 lunch: ρ=0.088 (z=-0.0) | 2024-01-30 dinner: ρ=0.063 (z=-0.2) | 2024-01-31 lunch: ρ=0.112 (z=+0.0) | 2024-01-31 dinner: ρ=0.091 (z=+0.1) | 2024-02-01 lunch: ρ=0.086 (z=+0.5) | 2024-02-01 dinner: ρ=0.157 (z=+2.2),derived:weather_aqi_tehran.csv
asian_cup_syria_r16,2024-01-31,2024-01-31,1402-11-11,1402-11-11,رویداد_ورزشی_ملی,ملی,هردو,سرو_کامل,بالا,یک‌هشتم‌نهایی ایران - سوریه؛ جام ملت‌های آسیا؛ چهارشنبه، ساعت ۱۶:۳۰ به‌وقت تهران (۱۶:۰۰ قطر)؛ نتیجه: مساوی ۱-۱ در وقت قانونی و برد ۵-۳ ایران در ضربات پنالتی,بین بازه‌ی معمول ناهار و شام؛ ممکن است رفتار دریافت وعده‌ی عصر/شام روز را تحت تأثیر قرار دهد,2024-01-31 lunch: ρ=0.112 (z=+0.0) | 2024-01-31 dinner: ρ=0.091 (z=+0.1),https://www.espn.com/soccer/match/_/gameId/698049/syria-iran
snow_episode_02,2024-02-01,2024-02-02,1402-11-12,1402-11-13,بارش_برف_سنگین,استان_تهران,هردو,سرو_کامل,بالا,بارش برف مجموعاً 7.21 سانتی‌متر با کمینه‌ی دمای -1.5°C؛ استخراج‌شده از داده‌ی Open-Meteo پروژه,اختلال تردد و احتمال افزایش نرخ عدم‌دریافت، به‌ویژه برای دانشجویان غیرخوابگاهی,2024-02-01 lunch: ρ=0.086 (z=+0.5) | 2024-02-01 dinner: ρ=0.157 (z=+2.2) | 2024-02-02 lunch: ρ=0.095 (z=+1.5) | 2024-02-02 dinner: ρ=0.077 (z=+0.1),derived:weather_aqi_tehran.csv
asian_cup_japan_qf,2024-02-03,2024-02-03,1402-11-14,1402-11-14,رویداد_ورزشی_ملی,ملی,ناهار,سرو_کامل,بالا,یک‌چهارم‌نهایی ایران - ژاپن؛ جام ملت‌های آسیا؛ شنبه، ساعت ۱۵:۰۰ به‌وقت تهران (۱۱:۳۰ UTC)؛ نتیجه: برد دراماتیک ۲-۱ ایران با پنالتی دقیقه ۹۶,بلافاصله پس از پایان بازه‌ی معمول سرو ناهار؛ احتمال تجمع دانشجویان برای تماشای بازی هم‌زمان با ناهار و کاهش نرخ دریافت؛ این روز (۱۴ بهمن) آخرین روز امتحانات پایان‌ترم است و سرو داشت — درست پیش از شروع تعطیلات بین‌ترم,2024-02-03 lunch: ρ=0.066 (z=-0.3) | 2024-02-03 dinner: ρ=0.061 (z=+0.1),https://www.aljazeera.com/sports/2024/2/3/iran-beat-japan-2-1-for-a-place-in-afc-asian-cup-2023-semifinal
asian_cup_qatar_sf,2024-02-07,2024-02-07,1402-11-18,1402-11-18,رویداد_ورزشی_ملی,ملی,شام,بدون_سرو,بالا,نیمه‌نهایی ایران - قطر (میزبان)؛ جام ملت‌های آسیا؛ چهارشنبه، ساعت ۱۸:۳۰ به‌وقت تهران (۱۸:۰۰ قطر)؛ نتیجه: باخت ۳-۲ ایران و حذف از جام,داخل بازه‌ی تعطیلات بین‌ترم (۱۵ تا ۲۰ بهمن) و بدون سرو؛ باخت پرحاشیه (اعتراض به داوری) ممکن است اثر روانی روزهای پس از بازگشایی ترم را داشته باشد,2024-02-07: بدون سرو,https://www.aljazeera.com/sports/2024/2/7/qatar-edge-iran-3-2-in-dramatic-asian-cup-2023-semifinal
aqi_episode_08,2024-02-13,2024-02-14,1402-11-24,1402-11-25,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_کامل,بالا,دوره‌ی پیوسته‌ی 2 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=159. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2024-02-13 lunch: ρ=0.126 (z=+1.2) | 2024-02-13 dinner: ρ=0.094 (z=+0.5) | 2024-02-14 lunch: ρ=0.178 (z=+2.3) | 2024-02-14 dinner: ρ=0.108 (z=+0.5),derived:weather_aqi_tehran.csv
aqi_episode_09,2024-02-20,2024-02-23,1402-12-01,1402-12-04,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_ناقص,بالا,دوره‌ی پیوسته‌ی 4 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=163. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2024-02-20 lunch: ρ=0.093 (z=+0.1) | 2024-02-20 dinner: ρ=0.068 (z=-0.1) | 2024-02-21 lunch: ρ=0.115 (z=+0.1) | … (1 سطر میانی حذف شد) | 2024-02-22 lunch: ρ=0.081 (z=+0.3) | 2024-02-22 dinner: ρ=0.070 (z=+0.2) | 2024-02-23: بدون سرو,derived:weather_aqi_tehran.csv
snow_episode_03,2024-02-25,2024-02-25,1402-12-06,1402-12-06,بارش_برف_سنگین,استان_تهران,هردو,سرو_ناقص,بالا,بارش برف مجموعاً 1.82 سانتی‌متر با کمینه‌ی دمای -0.1°C؛ استخراج‌شده از داده‌ی Open-Meteo پروژه,اختلال تردد و احتمال افزایش نرخ عدم‌دریافت، به‌ویژه برای دانشجویان غیرخوابگاهی,2024-02-25 lunch: ρ=0.066 (z=-0.1),derived:weather_aqi_tehran.csv
snow_episode_04,2024-02-28,2024-02-28,1402-12-09,1402-12-09,بارش_برف_سنگین,استان_تهران,هردو,سرو_کامل,بالا,بارش برف مجموعاً 1.89 سانتی‌متر با کمینه‌ی دمای -1.2°C؛ استخراج‌شده از داده‌ی Open-Meteo پروژه,اختلال تردد و احتمال افزایش نرخ عدم‌دریافت، به‌ویژه برای دانشجویان غیرخوابگاهی,2024-02-28 lunch: ρ=0.151 (z=+1.4) | 2024-02-28 dinner: ρ=0.090 (z=+0.1),derived:weather_aqi_tehran.csv
majlis_election_round1,2024-03-01,2024-03-01,1402-12-11,1402-12-11,انتخابات,ملی,هردو,بدون_سرو,بالا,مرحله‌ی اول انتخابات دوازدهمین دوره‌ی مجلس شورای اسلامی و ششمین دوره‌ی مجلس خبرگان رهبری؛ جمعه ۱۱ اسفند ۱۴۰۲؛ مشارکت ۴۰٫۶٪ (کمترین در تاریخ انتخابات مجلس),احتمال سفر برخی دانشجویان به شهر محل رأی‌گیری خود و کاهش رزرو/حضور در روزهای مجاور؛ چون جمعه است و سرو ندارد، اثر فقط به‌صورت سرریز روی چهارشنبه/پنجشنبه قبل و شنبه بعد قابل جست‌وجو است,2024-03-01: بدون سرو,https://en.wikipedia.org/wiki/2024_Iranian_legislative_election
aqi_episode_10,2024-03-02,2024-03-06,1402-12-12,1402-12-16,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_کامل,بالا,دوره‌ی پیوسته‌ی 5 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=176. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2024-03-02 lunch: ρ=0.106 (z=+1.0) | 2024-03-02 dinner: ρ=0.063 (z=+0.2) | 2024-03-03 lunch: ρ=0.064 (z=-0.2) | … (4 سطر میانی حذف شد) | 2024-03-05 dinner: ρ=0.092 (z=+0.5) | 2024-03-06 lunch: ρ=0.113 (z=+0.1) | 2024-03-06 dinner: ρ=0.126 (z=+0.9),derived:weather_aqi_tehran.csv
bus_drivers_strike,2024-03-06,2024-03-06,1402-12-16,1402-12-16,اعتصاب,استان_تهران,هردو,سرو_کامل,متوسط,اعتصاب رانندگان اتوبوسرانی تهران (خط ۷ سامانه BRT ۴) در اعتراض به عدم پرداخت عیدی پایان سال از سوی شهرداری؛ چهارشنبه ۱۶ اسفند ۱۴۰۲,احتمال کاهش جزئی حضور دانشجویانی که با اتوبوس شهری تردد می‌کنند؛ اثر محتمل محدود چون بخش زیادی از دانشجویان خوابگاهی نزدیک پردیس هستند,2024-03-06 lunch: ρ=0.113 (z=+0.1) | 2024-03-06 dinner: ρ=0.126 (z=+0.9),https://ir.voanews.com/a/dozens-of-tehran-bus-drivers-strike-on-wednesday-over-unpaid-benefits/7517281.html
ramadan_1445,2024-03-12,2024-04-09,1402-12-22,1403-01-21,ماه_رمضان,ملی,هردو,سرو_ناقص,بالا,ماه رمضان ۱۴۴۵ در ایران: ۱ رمضان = سه‌شنبه ۲۲ اسفند ۱۴۰۲ (۱۲ مارس ۲۰۲۴) تا ۳۰ رمضان = ۲۱ فروردین ۱۴۰۳ (۹ آوریل ۲۰۲۴). **مهم‌ترین رویداد ساختاری کل بازه‌ی داده**: سرو ناهار در تمام این ۲۹ روز کاملاً متوقف شده و فقط شام (افطار) سرو شده است — در داده‌ی تجمیعی هیچ ردیف ناهاری بین ۲۰۲۴-۰۳-۱۲ و ۲۰۲۴-۰۴-۰۹ وجود ندارد,قطع کامل سری زمانی ناهار به‌مدت ۲۹ روز (شکاف ساختاری، نه داده‌ی گمشده) و تغییر رژیم سری شام؛ نرخ عدم‌دریافت شام در روزهای نخست رمضان به‌شدت بالا می‌رود (سازگاری رفتاری با افطار). ⚠️ هر فیچر lag/rolling که از این مرز عبور کند بی‌معنا است؛ بند ۵.۲ و ۵.۳ باید این شکاف را صریحاً مدیریت کند. توصیه: افزودن `is_ramadan` به `src/data/calendar.py` طبق بند ۵.۱ WBS,2024-03-12 dinner: ρ=0.202 (z=+2.9) | 2024-03-13 dinner: ρ=0.251 (z=+3.7) | 2024-03-14 dinner: ρ=0.279 (z=+4.9) | … (23 سطر میانی حذف شد) | 2024-04-07 dinner: ρ=0.100 (z=+1.1) | 2024-04-08 dinner: ρ=0.094 (z=+0.8) | 2024-04-09 dinner: ρ=0.132 (z=+1.4),https://www.moroccoworldnews.com/2024/03/22232/ramadan-2024-official-start-date-in-iran-will-be-march-12/
derby_103,2024-03-13,2024-03-13,1402-12-23,1402-12-23,رویداد_ورزشی_باشگاهی,استان_تهران,شام,سرو_ناقص,متوسط,دربی ۱۰۳ تهران، پرسپولیس - استقلال، ورزشگاه آزادی، شامگاه چهارشنبه ۲۳ اسفند ۱۴۰۲ ساعت ۲۰:۰۰,هم‌زمان با بازه‌ی سرو افطار در دومین روز رمضان؛ ⚠️ اثر آن از اثر شروع رمضان (`ramadan_1445`) قابل تفکیک نیست و نباید جداگانه تفسیر شود,2024-03-13 dinner: ρ=0.251 (z=+3.7),https://www.mehrnews.com/news/6050100/
nowruz_1403,2024-03-18,2024-03-29,1402-12-28,1403-01-10,تعطیلات_نوروز,ملی,هردو,بدون_سرو,بالا,بلوک تعطیلات نوروز ۱۴۰۳ در تقویم آموزشی دانشگاه تهران؛ در داده‌ی سامانه هیچ سروی بین ۲۰۲۴-۰۳-۱۸ و ۲۰۲۴-۰۳-۲۹ ثبت نشده است,شکاف ساختاری ۱۲ روزه در هر دو سری ناهار و شام؛ در `calendar_tehran.csv` با `is_nowruz_block` پوشش داده شده — این ردیف فقط برای انسجام آرشیو رویدادی است,2024-03-18: بدون سرو | 2024-03-19: بدون سرو | 2024-03-20: بدون سرو | … (6 سطر میانی حذف شد) | 2024-03-27: بدون سرو | 2024-03-28: بدون سرو | 2024-03-29: بدون سرو,derived:calendar_tehran.csv
wcq_turkmenistan_home,2024-03-21,2024-03-21,1403-01-02,1403-01-02,رویداد_ورزشی_ملی,ملی,شام,بدون_سرو,بالا,مقدماتی جام جهانی ۲۰۲۶، ایران - ترکمنستان، تهران، ۲ فروردین ۱۴۰۳؛ نتیجه: برد ۵-۰ ایران,بدون اثر قابل‌سنجش — داخل بلوک تعطیلات نوروز و بدون سرو,2024-03-21: بدون سرو,https://en.wikipedia.org/wiki/Iran_national_football_team_results_(2020%E2%80%93present)
wcq_turkmenistan_away,2024-03-26,2024-03-26,1403-01-07,1403-01-07,رویداد_ورزشی_ملی,ملی,شام,بدون_سرو,بالا,مقدماتی جام جهانی ۲۰۲۶، ترکمنستان - ایران، عشق‌آباد، ۷ فروردین ۱۴۰۳؛ نتیجه: برد ۱-۰ ایران,بدون اثر قابل‌سنجش — داخل بلوک تعطیلات نوروز و بدون سرو,2024-03-26: بدون سرو,https://en.wikipedia.org/wiki/Iran_national_football_team_results_(2020%E2%80%93present)
